0 1 2 
0 0.42534 -1.58541 
0 0.412313 -1.59305 
0 0.399201 -1.60067 
0 0.386008 -1.60829 
0 0.372736 -1.61589 
0 0.359387 -1.62348 
0 0.345964 -1.63105 
0 0.33247 -1.63861 
0 0.318908 -1.64616 
0 0.305281 -1.6537 
0 0.291591 -1.66122 
0 0.277841 -1.66873 
0 0.264035 -1.67623 
0 0.250174 -1.68371 
0 0.236262 -1.69118 
0 0.222301 -1.69864 
0 0.208295 -1.70608 
0 0.194247 -1.71351 
0 0.180158 -1.72093 
0 0.166033 -1.72833 
0 0.151873 -1.73572 
0 0.137682 -1.7431 
0 0.123463 -1.75046 
0 0.109219 -1.75781 
0 0.0949525 -1.76515 
0 0.0806663 -1.77247 
0 0.0663637 -1.77978 
0 0.0520474 -1.78708 
0 0.0377204 -1.79436 
0 0.0233857 -1.80163 
0 0.00904615 -1.80889 
0 -0.00529528 -1.81613 
0 -0.0196357 -1.82336 
0 -0.033972 -1.83057 
0 -0.0483015 -1.83777 
0 -0.0626211 -1.84496 
0 -0.0769279 -1.85213 
0 -0.0912189 -1.85929 
0 -0.105491 -1.86644 
0 -0.119742 -1.87357 
0 -0.133968 -1.88068 
0 -0.148167 -1.88779 
0 -0.162336 -1.89488 
0 -0.176471 -1.90195 
0 -0.19057 -1.90901 
0 -0.204631 -1.91606 
0 -0.218649 -1.92309 
0 -0.232622 -1.93011 
0 -0.246548 -1.93712 
0 -0.260423 -1.94411 
0 -0.274245 -1.95108 
0 -0.288011 -1.95805 
0 -0.301717 -1.96499 
0 -0.315362 -1.97193 
0 -0.328942 -1.97885 
0 -0.342455 -1.98575 
0 -0.355897 -1.99264 
0 -0.369266 -1.99952 
0 -0.38256 -2.00638 
0 -0.395775 -2.01323 
0 -0.408909 -2.02006 
0 -0.421958 -2.02688 
0 -0.434922 -2.03368 
0 -0.447795 -2.04047 
0 -0.460577 -2.04725 
0 -0.473264 -2.05401 
0 -0.485854 -2.06075 
0 -0.498344 -2.06748 
0 -0.510731 -2.0742 
0 -0.523014 -2.0809 
0 -0.535189 -2.08759 
0 -0.547253 -2.09426 
0 -0.559206 -2.10092 
0 -0.571043 -2.10756 
0 -0.582762 -2.11419 
0 -0.594361 -2.12081 
0 -0.605838 -2.1274 
0 -0.61719 -2.13399 
0 -0.628415 -2.14056 
0 -0.639511 -2.14711 
0 -0.650474 -2.15365 
0 -0.661303 -2.16017 
0 -0.671996 -2.16668 
0 -0.68255 -2.17318 
0 -0.692964 -2.17966 
0 -0.703234 -2.18612 
0 -0.713359 -2.19257 
0 -0.723336 -2.19901 
0 -0.733164 -2.20543 
0 -0.742841 -2.21183 
0 -0.752364 -2.21822 
0 -0.761731 -2.22459 
0 -0.770941 -2.23095 
0 -0.779991 -2.2373 
0 -0.788879 -2.24363 
0 -0.797605 -2.24994 
0 -0.806164 -2.25624 
0 -0.814557 -2.26252 
0 -0.822782 -2.26879 
0 -0.830835 -2.27504 
0 -0.838716 -2.28128 
0 -0.846423 -2.2875 
0 -0.853955 -2.29371 
0 -0.861309 -2.2999 
0 -0.868484 -2.30608 
0 -0.875479 -2.31224 
0 -0.882291 -2.31838 
0 -0.888921 -2.32451 
0 -0.895365 -2.33063 
0 -0.901624 -2.33673 
0 -0.907694 -2.34281 
0 -0.913576 -2.34888 
0 -0.919267 -2.35493 
0 -0.924767 -2.36097 
0 -0.930074 -2.36699 
0 -0.935187 -2.373 
0 -0.940105 -2.37899 
0 -0.944827 -2.38497 
0 -0.949352 -2.39093 
0 -0.953678 -2.39687 
0 -0.957805 -2.4028 
0 -0.961733 -2.40871 
0 -0.965459 -2.41461 
0 -0.968983 -2.42049 
0 -0.972305 -2.42636 
0 -0.975423 -2.43221 
0 -0.978337 -2.43804 
0 -0.981046 -2.44386 
0 -0.98355 -2.44966 
0 -0.985847 -2.45545 
0 -0.987938 -2.46122 
0 -0.989821 -2.46698 
0 -0.991497 -2.47272 
0 -0.992965 -2.47844 
0 -0.994225 -2.48415 
0 -0.995275 -2.48985 
0 -0.996116 -2.49552 
0 -0.996749 -2.50118 
0 -0.997171 -2.50683 
0 -0.997384 -2.51246 
0 -0.997387 -2.51807 
0 -0.997179 -2.52367 
0 -0.996762 -2.52925 
0 -0.996135 -2.53482 
0 -0.995298 -2.54037 
0 -0.994251 -2.5459 
0 -0.992995 -2.55142 
0 -0.991529 -2.55692 
0 -0.989853 -2.56241 
0 -0.987969 -2.56788 
0 -0.985876 -2.57333 
0 -0.983575 -2.57877 
0 -0.981065 -2.58419 
0 -0.978349 -2.58959 
0 -0.975425 -2.59498 
0 -0.972295 -2.60036 
0 -0.968959 -2.60572 
0 -0.965418 -2.61106 
0 -0.961672 -2.61638 
0 -0.957723 -2.62169 
0 -0.953571 -2.62698 
0 -0.949216 -2.63226 
0 -0.94466 -2.63752 
0 -0.939904 -2.64277 
0 -0.934948 -2.64799 
0 -0.929793 -2.65321 
0 -0.924441 -2.6584 
0 -0.918893 -2.66358 
0 -0.913149 -2.66875 
0 -0.907211 -2.67389 
0 -0.90108 -2.67902 
